184857798;Goethita;-37901617;FeO·OH;100,00;4,18;72,00;2,45;62,00;2,69;(110);(111);(130)
-2020862913;Cuarzo;-34405022;SiO_2_;100,00;3,34;22,00;4,25;11,00;1,81;(101);(100);(112)
1831014166;Baritina;-25025740;BaSO_4_;100,00;3,11;60,00;3,44;51,00;2,12;(211);(210);(113)
1437408643;Ftalocianina de Cobre (II);-11015319;Cu(C_32_H_16_N_8_);0,00;0,00;0,00;0,00;0,00;0,00;();();()
-933917056;Cromato de Estroncio;8067246;SrCrO_4_;100,00;3,25;63,00;3,45;0,00;0,00;(120);(200);()
-1113940070;Pirofosfato de amonio y manganeso;41083510;Mn(NH_4_)_2_P_2_O_7_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
2144062790;Calcita;79690063;CaCO_3_;100,00;3,03;24,00;2,09;21,00;2,28;(104);(202);(113)
433926521;Baritina;127166534;BaSO_4_;100,00;3,09;80,00;3,43;50,00;2,11;(211);(210);(113)
-1962310268;Ácido Carmínico;204496155;C_22_H_20_O_13_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-1932010475;Calcita;233606578;CaCO_3_;100,00;3,03;19,00;2,28;17,00;2,09;(104);(113);(202)
-359858076;Magnetita;237169045;Fe_3_O_4_;100,00;2,52;43,00;1,48;29,00;2,96;(311);(440);(220)
965208962;Hematite;284897755;Fe_2_O_3_;100,00;2,70;69,00;2,51;39,00;1,69;(104);(110);(116)
-786568242;Calcita;295536439;CaCO_3_;100,00;3,04;20,00;2,28;19,00;2,09;(104);(113);(202)
-359858076;Hematite;373222706;Fe_2_O_3_;100,00;2,52;71,00;2,70;29,00;1,69;(110);(104);(116)
-1133331395;Aceto-arsenito de cobre;386962625;Cu(C_2_H_3_O_2_)_2_·3Cu(AsO_2_)_2_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
1904273445;Baritina;389086939;BaSO_4_;100,00;3,43;71,00;3,09;70,00;2,11;(210);(211);(113)
-359858076;Calcita;394403504;CaCO_3_;100,00;3,03;20,00;2,28;19,00;2,09;(104);(113);(202)
473550370;Calcita;438776910;CaCO_3_;100,00;3,03;62,00;2,09;24,00;2,28;(104);(202);(113)
965208962;Goethita;447907200;FeO·OH;100,00;4,18;15,00;2,70;15,00;2,45;(110);(130);(111)
1623894932;Baritina;449257733;BaSO_4_;100,00;3,10;86,00;3,44;66,00;2,12;(211);(210);(113)
1818416203;Yeso;468815070;CaSO_4_2H_2_O;100,00;7,59;43,00;3,06;33,00;4,29;(202);(14-1);(12-1)
-404679018;Cuarzo;471692980;SiO_2_;100,00;3,34;28,00;4,26;16,00;1,81;(101);(100);(112)
-112989684;Goethita;473361437;FeO·OH;100,00;4,18;75,00;2,69;72,00;2,45;(110);(130);(111)
-212882793;Aceto-arsenito de cobre;516918254;Cu(C_2_H_3_O_2_)_2_·3Cu(AsO_2_)_2_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-1133331395;Baritina;524046515;BaSO_4_;100,00;2,12;65,00;3,09;56,00;3,43;(113);(211);(210)
1832171382;Kermes;576815764;C_16_H_10_O_8_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
192318106;Baritina;584292952;BaSO_4_;100,00;3,10;93,00;3,44;67,00;2,12;(211);(210);(113)
-74031113;Calcita;654412484;CaCO_3_;100,00;3,02;18,00;2,28;15,00;2,08;(104);(113);(200)
2144062790;Baritina;676727746;BaSO_4_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
641511147;Calcita;739305470;CaCO_3_;100,00;3,03;19,00;2,28;15,00;2,09;(104);(113);(202)
343553395;Cuarzo;754746585;SiO_2_;100,00;2,28;10,00;3,34;7,00;4,28;(102);(101);(100)
-384958917;Lazurita;832483936;(NaCa)_8_(AlSiO_4_)_6_(SO_4_,S,Cl)_2_;100,00;3,72;30,00;2,63;16,00;2,88;(211);(222);(310)
-404679018;Goethita;878427231;FeO·OH;100,00;2,45;81,00;4,18;49,00;2,69;(111);(110);(130)
-933917056;Baritina;890309761;BaSO_4_;100,00;3,45;32,00;3,10;21,00;2,12;(210);(211);(113)
1623894932;Fosfato de cobalto;971169908;Co_3_(PO_4_)_2_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
1818416203;Ftalocianica de cobre;973507042;Cu(C_32_H_16_N_8_);0,00;0,00;0,00;0,00;0,00;0,00;();();()
-1932010475;Kermes;982145138;C_16_H_10_O_8_;0,00;0,00;0,00;0,00;0,00;0,00;();();()
641511147;Cuarzo;991066897;SiO_2_;100,00;2,28;32,00;3,34;11,00;4,21;(102);(101);(100)
-863236511;Óxido de Hierro y Cobalto;1019849998;(CoFeO_2_)O_4_;100,00;2,53;37,00;1,48;34,00;2,96;(021);(220);(110)
-2003110340;Cromato de Plomo;1070741194;PbCrO_4_;100,00;3,03;53,00;3,27;30,00;3,47;(012);(120);(200)
473550370;Hematite;1138477051;Fe_2_O_3_;100,00;2,52;38,00;2,69;15,00;1,69;(110);(104);(116)
-1962310268;Yeso;1142912850;CaSO_4_2H_2_O;100,00;7,57;57,00;3,06;43,00;4,27;(020);(14-1);(12-1)
-212882793;Baritina;1148391069;BaSO_4_;100,00;3,43;50,00;3,09;39,00;2,11;(210);(211);(113)
-359858076;Goethita;1152032203;FeO·OH;100,00;2,70;70,00;4,18;60,00;2,44;(130);(110);(111)
452033653;Goethita;1183055506;FeO·OH;100,00;4,19;88,00;2,48;53,00;2,69;(110);(111);(130)
1265606333;Carbón;1232909626;C;0,00;0,00;0,00;0,00;0,00;0,00;();();()
-212882793;Calcita;1258595980;CaCO_3_;100,00;3,03;22,00;2,28;16,00;2,09;(104);(113);(202)
1818416203;Cromato de plomo;1334130439;PbCrO_4_;100,00;3,02;25,00;2,09;6,00;3,27;(012);(212);(120)
965208962;Calcita;1377626030;CaCO_3_;100,00;3,03;19,00;2,28;15,00;2,09;(104);(113);(202)
2144062790;Cinabrio;1484508388;HgS;0,00;0,00;0,00;0,00;0,00;0,00;();();()
1661435110;Magnetita;1577556079;Fe_3_O_4_;100,00;2,52;30,00;1,48;28,00;2,96;(311);(440);(220)
-863236511;Baritina;1584267127;BaSO_4_;100,00;3,43;90,00;3,09;82,00;2,12;(210);(211);(113)
-1953718434;Cerusita;1617328007;PbCO_3_;100,00;3,60;39,00;1,58;50,00;1,58;(111);(113);(241)
762144745;Óxido de Zinc;1960221174;ZnO;100,00;2,47;59,00;2,81;44,00;2,60;(101);(100);(002)
